No;Nama Tempat Wisata;Nama Lain Tempat Wisata;Kategori
1;Aiola Eatery;;Kuliner
2;Arca Joko Dolog;;Wisata Sejarah, Budaya
3;Air Mancur Menari;Taman Air Mancur Menari Kenjeran;Tempat Singgah
4;Almond Crispy Wisata Rasa;Wisata Rasa Basuki Rahmat-Almond Crispy Cheese;Kuliner
5;Atlantis Land;;Waterpark
6;Balai Pemuda;;Wisata Sejarah
7;Bebek Goreng Palupi;;Kuliner
8;Bebek Goreng Sinjay;Bebek Sinjay;Kuliner
9;Brownies Amanda;Amanda Brownies;Kuliner
10;Cakcuk Cafe Surabaya;;Tempat Singgah, Oleh-oleh
11;Cagar Budaya Cak Durasim;Gedung Cak Durasim,UPT TAMAN BUDAYA JAWA TIMUR;Budaya, Wisata Sejarah
12;Chipmunks Playland and Cafe;Chipmunks Playland & Cafe Tunjungan Plaza;Tempat Singgah, Kuliner
13;Ciputra Waterpark;;Waterpark, Tempat Singgah
14;Ciputra World Surabaya;Ciputra World;Mall, Pusat perbelanjaan, Kuliner
15;Darmo Trade Centre;Mall DTC Wonokromo;Pusat Perbelanjaan, Kuliner, Pasar
16;Danau Unesa Lidah Wetan;;Tempat Singgah, Alam
17;De Javasche Bank;Museum Bank Indonesia;Wisata Sejarah, Museum, Budaya
18;De Mata Tirck Eye Museum;;Museum, Budaya, Tempat Singgah
19;Depot Bu Rudy;Sambal Bu Rudy;Kuliner
20;Depot Pak Qomar ayam dan Bebek Goreng;;Kuliner
21;Es Krim Zangrandi;Zangrandi Ice Cream;Kuliner
22;Food Festival Pakuwon City;Food Festival;Kuliner
23;Food Junction Grand Pakuwon;;Kuliner
24;G Walk;;Kuliner
25;Gado-gado Arjuno Suroboyo;Gado-Gado Arjuna Pak Satumin;Kuliner
26;Galaxy Mall;;Mall, Pusat perbelanjaan, Kuliner
27;Gedung Cerutu;;Wisata Sejarah
28;Gedung Internatio;;Wisata Sejarah
29;Gedung Grahadi;;Wisata Sejarah
30;Gedung Siola;;Wisata Sejarah, Museum, Budaya
31;Grand City;;Mall, Pusat perbelanjaan, Kuliner
32;Hotel Majapahit;Hotel Yamato;Wisata Sejarah, Hotel
33;House of Sampoerna;;Wisata Sejarah
34;Hutan Bambu Surabaya;Hutan Bambu Keputih;Tempat Singgah, Alam, Taman Kota
35;Hutan Kota Balas Klumprik;;Tempat Singgah, Alam, Taman Kota
36;Jalan Gula dan Karet;;Wisata Sejarah
37;Jalan Tunjungan;Jl Tunjungan,Jln Tunjungan;Wisata Sejarah
38;Jembatan Merah;;Wisata Sejarah
39;Jembatan Suroboyo;;Tempat Singgah
40;Jembatan Ujung Galuh;;Taman Kota
41;Kampung Bulak;;Tempat Wisata
42;Kebun Bibit Ngagel;;Tempat Singgah, Alam, Taman Kota
43;Kebun Bibit Wonorejo;;Tempat Singgah, Alam, Taman Kota
44;Kebun Binatang Surabaya;;Tempat Singgah, Alam, Kebun Binatang
45;Kenjeran Park;;Tempat Singgah, Alam
46;Kepiting Kapasan Surabaya;Sari Laut Kapasan;Kuliner
47;Klenteng Sanggar Agung;;Wisata Sejarah, Budaya
48;Lapis Kukus Pahlawan;;Kuliner
49;Lenmarc Mall;;Mall, Pusat Perbelanjaan
50;Lontong Balap Pak Gendut;;Kuliner
51;Makam Peneleh;;Wisata Sejarah
