"id";"tgturl";"jsonfile";"pubdate"
"1";"https://www.shopback.co.id/katashopback/tempat-wisata-di-surabaya";"wisata hits surabaya-1598368144.json";"2019-06-17T06:38:37+00:00"
"2";"https://phinemo.com/wisata-surabaya/";"wisata hits surabaya-1598368144.json";"2017-07-27T11:01:53+07:00"
"3";"https://www.anekawisata.com/tempat-wisata-di-surabaya";"wisata hits surabaya-1598368144.json";NULL
"4";"https://www.javatravel.net/tempat-wisata-surabaya";"wisata hits surabaya-1598368144.json";"2019-07-11T04:31:08Z"
"5";"https://www.hipwee.com/travel/wisata-hits-surabaya/";"wisata hits surabaya-1598368144.json";"2019-08-10T22:15:14+07:00"
"6";"http://blog.reservasi.com/tempat-wisata-di-surabaya-paling-menarik/";"wisata hits surabaya-1598368144.json";"2017-04-10T05:00:26+00:00"
"7";"https://travel.detik.com/domestic-destination/d-4936860/10-tempat-wisata-surabaya-yang-hits-dan-wajib-dikunjungi";"wisata hits surabaya-1598368144.json";NULL
"8";"https://www.idntimes.com/travel/destination/putriana-cahya/9-tempat-wisata-baru-di-surabaya-belum-banyak-yang-tahu-nih";"wisata hits surabaya-1598368144.json";NULL
"9";"https://anekatempatwisata.com/tempat-wisata-di-surabaya/";"wisata hits surabaya-1598368144.json";"2018-02-04T15:02:44+00:00"
"10";"https://mytrip123.com/tempat-menarik-di-surabaya/";"wisata hits surabaya-1598368144.json";"2019-03-10T09:28:21+00:00"
"11";"https://www.tokopedia.com/blog/wisata-malam-terbaik-di-surabaya/";"wisata hits surabaya-1598368144.json";NULL
"12";"https://blog.traveloka.com/surabaya/13-spot-foto-di-surabaya-untuk-percantik-feed-instagram-kamu/";"wisata hits surabaya-1598368144.json";NULL
"13";"https://www.itrip.id/tempat-wisata-surabaya";"wisata hits surabaya-1598368144.json";"2019-05-04T08:25:43Z"
"14";"https://www.brilio.net/jalan-jalan/52-wisata-surabaya-terbaru-dan-paling-hits-2018-181106u";"wisata hits surabaya-1598368144.json";"2018-11-06T22:01:00+07:00"
"15";"https://explorewisata.com/2017/02/tempat-wisata-di-surabaya-paling-hits";"wisata hits surabaya-1598368144.json";NULL
"16";"https://surabaya.liputan6.com/read/4144282/6-rekomendasi-wisata-hits-di-surabaya-untuk-libur-akhir-tahun";"wisata hits surabaya-1598368144.json";"2019-12-29T16:00:12+07:00"
"17";"https://travelingyuk.com/tempat-wisata-surabaya/18272/";"wisata hits surabaya-1598368144.json";"2016-07-28UTC02:00:00"
"18";"https://www.99.co/id/panduan/wisata-surabaya";"wisata hits surabaya-1598368144.json";NULL
"19";"https://www.wisataidn.com/tempat-wisata-di-surabaya/";"wisata hits surabaya-1598368144.json";"2019-08-28T17:57:00+00:00"
"20";"https://www.gotravelly.com/blog/wisata-malam-surabaya/";"wisata hits surabaya-1598368144.json";"2018-07-09T07:15:05+00:00"
"21";"https://javamilk.com/2020/01/08/inspirasi-tempat-wisata-hits-di-surabaya/";"wisata hits surabaya-1598368144.json";NULL
"22";"https://blogunik.com/tempat-wisata-yang-hits-dan-indah-untuk-berselfie-ria-di-surabaya/";"wisata hits surabaya-1598368144.json";"2018-08-09T01:44:43+00:00"
"23";"https://nyero.id/tempat-nongkrong-asik-di-surabaya/";"wisata hits surabaya-1598368144.json";"2018-02-25T07:56:41+00:00"
"24";"http://orangemagz.com/index.php/2019/12/31/rekomendasi-tempat-wisata-hits-di-surabaya/";"wisata hits surabaya-1598368144.json";NULL
"25";"https://indonesia.tripcanvas.co/id/surabaya/cafe-keren-untuk-nongkrong/";"wisata hits surabaya-1598368144.json";"2017-08-01T06:10:16+00:00"
"26";"https://www.tripadvisor.co.id/ShowUserReviews-g297715-d450889-r612232183-Monkasel_Submarine_Monument-Surabaya_East_Java_Java";"wisata hits surabaya-1598368144.json";NULL
"27";"https://mamikos.com/info/tempat-wisata-lebaran-di-surabaya/";"wisata hits surabaya-1598368144.json";"2020-02-08T08:18:10+00:00"
"28";"https://portal.axa.co.id/direct/Tips/Detail/tempat-wisata-hits-di-surabaya-cocok-untuk-kamu-yang-suka-foto?Category=Lifestyle";"wisata hits surabaya-1598368144.json";NULL
"29";"https://tempatwisataseru.com/26-tempat-wisata-di-surabaya-yang-harus-dikunjungi/";"wisata hits surabaya-1598368144.json";"2015-11-09T17:18:28+00:00"
"30";"https://sukagitu.com/tempat-wisata-di-surabaya/";"wisata hits surabaya-1598368144.json";"2016-05-25T05:05:02+00:00"
"31";"https://idntrip.com/tempat-wisata-di-surabaya/";"wisata hits surabaya-1598368144.json";"2019-12-06T02:34:30+00:00"
"32";"https://dolanyok.com/wisata-surabaya/";"wisata hits surabaya-1598368144.json";"2020-04-03T02:17:08+07:00"
"33";"https://www.guinness.id/food/article/buat-kamu-yang-suka-wisata-kuliner-cobain-makanan-hits-surabaya-ini";"wisata hits surabaya-1598368144.json";NULL
"34";"https://kepengenwisata.blogspot.com/2019/07/tempat-wisata-di-surabaya-terbaru";"wisata hits surabaya-1598368144.json";NULL
"35";"https://www.merdeka.com/jatim/intip-wisata-hits-baru-di-surabaya-bikin-unggahan-instagram-makin-ciamik";"wisata hits surabaya-1598368144.json";NULL
"36";"https://travel.kompas.com/read/2020/02/25/190800727/5-kafe-hits-bergaya-tropis-di-surabaya-serasa-liburan-di-bali?page=all";"wisata hits surabaya-1598368144.json";"2020-02-25 19:08:00"
"37";"https://www.popbela.com/career/inspiration/romi-subhan/lokasi-wisata-hits-di-surabaya";"wisata hits surabaya-1598368144.json";NULL
"38";"https://rahayumobilsurabaya.com/8-tempat-wisata-surabaya-paling-hits-dan-disukai-untuk-keluarga/";"wisata hits surabaya-1598368144.json";"2016-04-15T14:04:06+00:00"
"39";"https://www.bobobox.co.id/blog/7-destinasi-wisata-surabaya-hits/";"wisata hits surabaya-1598368144.json";"2019-09-17T12:00:49+00:00"
"40";"https://jejakpiknik.com/wisata-malam-surabaya/";"wisata hits surabaya-1598368144.json";NULL
"41";"https://telusurindonesia.co/tempat-wisata-di-surabaya/";"wisata hits surabaya-1598368144.json";"2019-08-23T07:23:54+00:00"
"42";"https://gerainews.com/tempat-wisata-di-surabaya-yang-hits/";"wisata hits surabaya-1598368144.json";"2020-06-21T07:35:42+07:00"
"43";"https://tempatwisata.co/tempat-wisata-di-surabaya/";"wisata hits surabaya-1598368144.json";NULL
"44";"https://niatbanget.com/9-tempat-wisata-di-surabaya-paling-hits/";"wisata hits surabaya-1598368144.json";NULL
"45";"https://wisatapro.com/tempat-wisata-di-surabaya-terbaru/";"wisata hits surabaya-1598368144.json";"2018-07-13T13:03:10+00:00"
"46";"http://www.marijalan.com/2019/08/destinasi-wisata-surabaya-paling-hits";"wisata hits surabaya-1598368144.json";NULL
"47";"https://lifepal.co.id/media/20-tempat-wisata-di-surabaya-kekinian/";"wisata hits surabaya-1598368144.json";"2019-04-13T08:00:59+07:00"
"48";"https://blog.airyrooms.com/destinasi/lucid-dream-surabaya/";"wisata hits surabaya-1598368144.json";"2020-01-10T07:39:41+00:00"
"49";"https://www.sepulsa.com/blog/tempat-wisata-surabaya";"wisata hits surabaya-1598368144.json";"2017-06-13T08:26:47+00:00"
"50";"https://www.anekawisataseru.net/tempat-wisata-di-surabaya-terbaru/";"wisata hits surabaya-1598368144.json";"2020-01-04T13:06:40+00:00"
"51";"https://www.isletmeoyunlari.com/2020/08/5-tempat-wisata-surabaya-yang-hits-di";"wisata hits surabaya-1598368144.json";NULL
"52";"https://aslilokal.pegipegi.com/city/Surabaya-IDN.SBY/";"wisata hits surabaya-1598368144.json";NULL
"53";"https://informazone.com/tempat-wisata-surabaya/";"wisata hits surabaya-1598368144.json";"2020-01-06T08:55:44+00:00"
"54";"https://www.instagram.com/wisata_rasa/";"wisata hits surabaya-1598368144.json";NULL
"55";"https://www.nongki.net/10-tempat-wisata-kuliner-paling-hits-di-surabaya/";"wisata hits surabaya-1598368144.json";"2019-10-30T07:57:08+00:00"
"56";"https://www.facebook.com/650650708718917/videos/wisata-alam-di-surabaya-yang-lagi-hits-banget/412281445991947/";"wisata hits surabaya-1598368144.json";NULL
"57";"https://kreativv.com/travel/destinasi-wisata-surabaya/";"wisata hits surabaya-1598368144.json";"2020-01-27T07:39:44+07:00"
"58";"https://www.tripzilla.id/wisata-di-madura/5767";"wisata hits surabaya-1598368144.json";"2020-03-02T01:00:03+00:00"
"59";"https://tribunjatimtravel.tribunnews.com/2020/02/25/rute-dan-waktu-terbaik-ke-ranu-manduro-wisata-yang-lagi-hits-di-ngoro-mojokerto";"wisata hits surabaya-1598368144.json";NULL
"60";"https://blog.pergi.com/wisata-keluarga-murah-ke-pantai-kenjeran-surabaya-saja/";"wisata hits surabaya-1598368144.json";"2018-11-30T11:00:52+00:00"
"61";"https://suaramuslim.net/ini-tempat-wisata-hits-di-surabaya/";"wisata hits surabaya-1598368144.json";"2017-11-17T12:00:53+00:00"
"62";"https://www.wisatain.com/2019/11/6-spot-wisata-populer-surabaya-yang";"wisata hits surabaya-1598368144.json";NULL
"63";"https://penginapan.net/tempat-nongkrong-outdoor-hits-kekinian-di-kota-surabaya/";"wisata hits surabaya-1598368144.json";NULL
"64";"https://hariliburnasional.com/5-tempat-wisata-di-surabaya-paling-hits/5-tempat-wisata-di-surabaya-paling-hits-wajib-dikunjungi-600-x-322/";"wisata hits surabaya-1598368144.json";NULL
"65";"http://www.surabayapagi.com:16000/read/10-destinasi-wisata-hits-tahun-2018";"wisata hits surabaya-1598368144.json";NULL
"66";"https://bisniswisata.co.id/surabaya-tawarkan-wisata-air-redakan-udara-panas/";"wisata hits surabaya-1598368144.json";NULL
"67";"https://destinasiku.com/tempat-wisata-di-surabaya/";"wisata hits surabaya-1598368144.json";NULL
"68";"https://portaljember.pikiran-rakyat.com/pariwisata/pr-16681660/5-destinasi-wisata-cianjur-yang-sedang-hits-yang-nomor-2-sangat-instagramable";"wisata hits surabaya-1598368144.json";"2020-08-21T19:31:59+07:00"
"69";"https://id-blog.zenrooms.com/6-tempat-hits-yang-harus-dikunjungi-di-surabaya/";"wisata hits surabaya-1598368144.json";NULL
"70";"https://etrans.id/tag/wisata-hits-2018/";"wisata hits surabaya-1598368144.json";NULL
"71";"https://sewabussurabaya.com/paket-wisata-surabaya/";"wisata hits surabaya-1598368144.json";NULL
"72";"https://blog.tripcetera.com/id/cafe-24-jam-surabaya/";"wisata hits surabaya-1598368144.json";"2019-07-22T07:00:58+00:00"
"73";"https://www.nativeindonesia.com/tempat-wisata-pacet/";"wisata hits surabaya-1598368144.json";"2019-10-25T06:45:55+07:00"
"74";"https://www.primadaily.com/2020/03/6-tempat-wisata-yang-lagi-hits-di-surabaya/443/";"wisata hits surabaya-1598368144.json";"2020-03-11T11:16:48+00:00"
"75";"https://tempatwisataunik.com/wisata-indonesia/jawa-timur/spot-foto-malam-hari-di-surabaya";"wisata hits surabaya-1598368144.json";"2018-02-18T04:25:05+00:00"
"76";"https://yukpigi.com/9-tempat-wisata-baru-di-surabaya-tetap-hits.sfr";"wisata hits surabaya-1598368144.json";NULL
"77";"https://www.17sekians.com/10-tempat-wisata-hits-di-di-tengah-surabaya-terupdate-2019/";"wisata hits surabaya-1598368144.json";"2019-01-13T23:16:50+00:00"
"78";"https://www.seva.id/blog/tempat-wisata-legendaris-wajib-dikunjungi-di-surabaya/";"wisata hits surabaya-1598368144.json";"2019-01-16T09:15:05+07:00"
"79";"http://ngetripkuliner.over-blog.com/2019/03/7-wisata-paling-hits-yang-wajib-dikunjungi-di-surabaya";"wisata hits surabaya-1598368144.json";NULL
"80";"http://www.bicarapenting.com/2019/11/top-3-surabaya-7-wisata-kuliner";"wisata hits surabaya-1598368144.json";NULL
"81";"https://rentcarsby.com/pantai-ria-kenjeran-park-tempat-wisata-pantai-hits-di-surabaya/";"wisata hits surabaya-1598368144.json";"2019-12-03T00:33:29+07:00"
"82";"https://wisatadestinasi.com/wisata-kenjeran-park-surabaya/";"wisata hits surabaya-1598368144.json";"2019-08-09T13:40:10+00:00"
"83";"https://blog.jadipergi.com/ini-5-tempat-wisata-di-surabaya/";"wisata hits surabaya-1598368144.json";"2019-06-25T16:17:17+07:00"
"84";"https://apapikirnya.blogspot.com/2019/12/6-rekomendasi-wisata-hits-di-surabaya";"wisata hits surabaya-1598368144.json";NULL
"85";"http://www.wisataoke.com/2019/08/tempat-wisata-kuliner-di-surabaya";"wisata hits surabaya-1598368144.json";NULL
"86";"https://web.lintaslampung.com/5-tempat-wisata-paling-hits-di-surabaya";"wisata hits surabaya-1598368144.json";NULL
"87";"https://wisatawan.id/tempat-wisata-di-surabaya/";"wisata hits surabaya-1598368144.json";"2019-07-04T14:31:32+07:00"
"88";"https://borneochannel.com/tempat-wisata-di-surabaya/";"wisata hits surabaya-1598368144.json";"2019-03-19T11:53:42+00:00"
"89";"https://daihatsu.co.id/tips-and-event/tips-sahabat/detail-content/tak-hanya-baturraden-ini-deretan-tempat-wisata-di-purwokerto-yang-tidak-kalah-hits";"wisata hits surabaya-1598368144.json";NULL
"90";"https://ngadem.com/6-tempat-wisata-surabaya-yang-cucok-buat-ngadem/";"wisata hits surabaya-1598368144.json";"2016-04-01T07:24:16+00:00"
"91";"https://infosurabaya.com/tempat-wisata-surabaya-terbaru/";"wisata hits surabaya-1598368144.json";"2019-06-18T12:14:03+07:00"
"92";"https://swara.tunaiku.com/gayahidup/jalan-jalan/10-tempat-wisata-di-surabaya-yang-lagi-hits";"wisata hits surabaya-1598368144.json";"2018-01-06T01:05:23+00:00"
"93";"https://lifestyle.okezone.com/read/2018/11/29/406/1984284/surabaya-rasa-jepang-bertabur-bunga-tabebuya-yang-lagi-hits-di-medsos";"wisata hits surabaya-1598368144.json";"2018-11-29T00:48:15+07:00"
"94";"https://halloindo.com/detik/2020/03/12/10-tempat-wisata-surabaya-yang-hits-dan-wajib-dikunjungi";"wisata hits surabaya-1598368144.json";NULL
"95";"https://www.cermati.com/artikel/tempat-wisata-di-surabaya-yang-paling-asyik-untuk-liburan";"wisata hits surabaya-1598368144.json";NULL
